date,final,release1,release2,release3,rev_2to1,rev_3to2,rev_final,se,ci90_lower,ci90_upper,is_outlier,revision_magnitude
1939-01-01,29923,29870.74643852416,29902.098575409662,29917.774643852415,31.35213688550357,15.676068442753603,52.25356147584171,85.0,29734.74643852416,30006.74643852416,False,Medium
1939-02-01,30100,30095.36982258784,30098.147929035134,30099.536982258785,2.7781064472947037,1.3890532236509898,4.630177412160265,85.0,29959.36982258784,30231.36982258784,False,Small
1939-03-01,30280,30216.42335964245,30254.56934385698,30273.642335964243,38.14598421453047,19.072992107263417,63.57664035755079,85.0,30080.42335964245,30352.42335964245,False,Medium
1939-04-01,30094,29964.7727607694,30042.30910430776,30081.07727607694,77.53634353835878,38.76817176918121,129.2272392306004,85.0,29828.7727607694,30100.7727607694,False,Large
1939-05-01,30299,30301.56150310425,30300.0246012417,30299.256150310426,-1.536901862549712,-0.768450931274856,-2.5615031042507326,85.0,30165.56150310425,30437.56150310425,False,Small
1939-06-01,30502,30504.560271771188,30503.024108708476,30502.256027177118,-1.5361630627121485,-0.7680815313578933,-2.560271771188127,85.0,30368.560271771188,30640.560271771188,False,Small
1939-07-01,30419,30285.559038836946,30365.62361553478,30405.655903883693,80.06457669783413,40.032288348913426,133.44096116305445,85.0,30149.559038836946,30421.559038836946,False,Large
1939-08-01,30663,30590.44239531353,30633.97695812541,30655.744239531352,43.53456281188119,21.767281405940594,72.55760468646986,85.0,30454.44239531353,30726.44239531353,False,Medium
1939-09-01,31031,31051.21057894512,31039.08423157805,31033.02105789451,-12.126347367069684,-6.06317368353848,-20.210578945119778,85.0,30915.21057894512,31187.21057894512,False,Small
1939-10-01,31411,31355.30799673105,31388.72319869242,31405.430799673104,33.41520196136844,16.70760098068422,55.69200326894861,85.0,31219.30799673105,31491.30799673105,False,Medium
1939-11-01,31470,31489.756326960935,31477.902530784373,31471.975632696092,-11.853796176561445,-5.926898088280723,-19.75632696093453,85.0,31353.756326960935,31625.756326960935,False,Small
1939-12-01,31542,31561.92973151777,31549.971892607107,31543.992973151777,-11.95783891066094,-5.97891945533047,-19.929731517768232,85.0,31425.92973151777,31697.92973151777,False,Small
1940-01-01,31603,31569.852829632546,31589.741131853018,31599.685282963255,19.888302220471815,9.944151110237726,33.14717036745424,85.0,31433.852829632546,31705.852829632546,False,Small
1940-02-01,31715,31843.496018349335,31766.398407339733,31727.849601834932,-77.09761100960168,-38.54880550480084,-128.49601834933492,85.0,31707.496018349335,31979.496018349335,False,Large
1940-03-01,31825,31939.368837438476,31870.74753497539,31836.43688374385,-68.62130246308516,-34.31065123154258,-114.36883743847648,85.0,31803.368837438476,32075.368837438476,False,Large
1940-04-01,31701,31728.17156469307,31711.86862587723,31703.71715646931,-16.302938815842936,-8.151469407919649,-27.17156469307156,85.0,31592.17156469307,31864.17156469307,False,Small
1940-05-01,31879,31939.96233402508,31903.384933610032,31885.09623340251,-36.57740041504803,-18.288700207522197,-60.962334025080054,85.0,31803.96233402508,32075.96233402508,False,Medium
1940-06-01,31977,31938.431450055356,31961.57258002214,31973.143145005535,23.14112996678523,11.570564983394434,38.568549944644474,85.0,31802.431450055356,32074.431450055356,False,Small
1940-07-01,31942,31995.10180566409,31963.240722265637,31947.31018056641,-31.861083398453047,-15.930541699228343,-53.101805664089625,85.0,31859.10180566409,32131.10180566409,False,Medium
1940-08-01,32352,32442.922777600146,32388.369111040058,32361.092277760014,-54.55366656008846,-27.27683328004423,-90.92277760014622,85.0,32306.922777600146,32578.922777600146,False,Medium
1940-09-01,32810,32685.07634233088,32760.030536932354,32797.50763423309,74.95419460147241,37.47709730073257,124.92365766911826,85.0,32549.07634233088,32821.07634233088,False,Large
1940-10-01,33267,33268.93322253649,33267.77328901459,33267.193322253646,-1.1599335218998021,-0.5799667609462631,-1.9332225364923943,85.0,33132.93322253649,33404.93322253649,False,Small
1940-11-01,33669,33648.93538464841,33660.97415385936,33666.99353846484,12.038769210950704,6.019384605482628,20.064615351591783,85.0,33512.93538464841,33784.93538464841,False,Small
1940-12-01,34174,34265.85611396601,34210.7424455864,34183.1856113966,-55.11366837960668,-27.55683418980334,-91.8561139660087,85.0,34129.85611396601,34401.85611396601,False,Medium
1941-01-01,34481,34506.82870433939,34491.33148173575,34483.58287043394,-15.497222603633418,-7.748611301816709,-25.828704339386604,85.0,34370.82870433939,34642.82870433939,False,Small
1941-02-01,34843,34819.68080577176,34833.6723223087,34840.668080577176,13.99151653694571,6.995758268472855,23.31919422824285,85.0,34683.68080577176,34955.68080577176,False,Small
1941-03-01,35092,35163.324518306676,35120.529807322666,35099.132451830665,-42.794710984009726,-21.397355492001225,-71.3245183066756,85.0,35027.324518306676,35299.324518306676,False,Medium
1941-04-01,35468,35424.822648624075,35450.72905944963,35463.68226486241,25.906410825555213,12.953205412777606,43.177351375925355,85.0,35288.822648624075,35560.822648624075,False,Small
1941-05-01,36182,36212.047901743914,36194.019160697564,36185.00479017439,-18.02874104634975,-9.014370523174875,-30.047901743913826,85.0,36076.047901743914,36348.047901743914,False,Small
